game_name, released_date, positive_review, original_price, final_price
Starbound,Jul 22 - 2016,92%,$14.99,$9.74
Dota 2,Jul 9 - 2013,85%,$0,$0
MONSTER HUNTER: WORLD,Aug 9 - 2018,70%,$59.99,$29.99
Borderlands: The Handsome Collection,,93%,$229.48,$5.90
Sid Meier’s Civilization® VI,Oct 20 - 2016,68%,$59.99,$14.99
Tom Clancy's Rainbow Six® Siege,Dec 1 - 2015,82%,$19.99,$9.99
FINAL FANTASY XIV Online,Feb 18 - 2014,82%,$19.99,$19.99
HITMAN™ 2,Nov 13 - 2018,88%,$59.99,$23.99
Sid Meier’s Civilization VI Gold Edition,,65%,$127.92,$29.54
Counter-Strike: Global Offensive,Aug 21 - 2012,86%,$0,$0
Grand Theft Auto V,Apr 13 - 2015,71%,$29.99,$14.99
Rust,Feb 8 - 2018,80%,$34.99,$8.74
The Witcher 3: Wild Hunt - Game of the Year Edition,Aug 30 - 2016,97%,$49.99,$14.99
Divinity: Original Sin 2 - Definitive Edition,Sep 14 - 2017,94%,$44.99,$26.99
Total War: WARHAMMER II,Sep 28 - 2017,87%,$59.99,$29.99
The Elder Scrolls® Online,May 22 - 2017,77%,$19.99,$9.99
DARK SOULS™ III,Apr 11 - 2016,91%,$59.99,$14.99
Assassin's Creed® Odyssey,Oct 5 - 2018,83%,$59.99,$29.99
Borderlands 2,Sep 17 - 2012,96%,$19.99,$4.99
The Witcher® 3: Wild Hunt,May 18 - 2015,97%,$39.99,$11.99
Valve Index VR Kit,Jun 28 - 2019,NaN,$999.00,$999.00
Far Cry® 5,Mar 26 - 2018,68%,$59.99,$19.79
Total War: THREE KINGDOMS,May 23 - 2019,85%,$59.99,$53.99
Stellaris,May 9 - 2016,79%,$39.99,$9.99
Valve Index Base Station,Jun 2019,NaN,$149.00,$149.00
Cities: Skylines,Mar 10 - 2015,91%,$29.99,$7.49
Pathfinder: Kingmaker - Enhanced Edition,Sep 25 - 2018,72%,$39.99,$19.99
Arma 3,Sep 12 - 2013,89%,$29.99,$10.19
DARK SOULS III Deluxe Edition,Apr 11 - 2016,90%,$84.98,$21.24
Stardew Valley,Feb 26 - 2016,97%,$14.99,$11.99
Sekiro™: Shadows Die Twice,Mar 21 - 2019,88%,$59.99,$47.99
Bloodstained: Ritual of the Night,Jun 18 - 2019,95%,$39.99,$35.99
No Man's Sky,Aug 12 - 2016,51%,$59.99,$29.99
Path of Exile,Oct 23 - 2013,92%,$0,$0
ARK: Survival Evolved,Aug 29 - 2017,70%,$49.99,$17.49
Neverwinter Nights: Enhanced Edition Digital Deluxe,,76%,$57.91,$11.36
Pillars of Eternity II: Deadfire,May 8 - 2018,82%,$49.99,$24.99
XCOM® 2 Collection,,81%,$132.95,$30.16
Rocket League®,Jul 6 - 2015,92%,$19.99,$9.99
Black Desert Online,May 24 - 2017,66%,$9.99,$4.99
The Elder Scrolls V: Skyrim Special Edition,Oct 27 - 2016,84%,$39.99,$19.99
Dead by Daylight,Jun 14 - 2016,77%,$19.99,$9.99
MORDHAU,Apr 29 - 2019,80%,$29.99,$29.99
Fallout 4,Nov 10 - 2015,71%,$29.99,$14.99
XCOM® 2,Feb 4 - 2016,81%,$59.99,$14.99
Fallout 4: Game of the Year Edition,Nov 10 - 2015,69%,$59.99,$29.99
House Flipper,May 17 - 2018,80%,$19.99,$13.99
Warframe,Mar 25 - 2013,91%,$0,$0
Neverwinter Nights: Enhanced Edition,Mar 27 - 2018,76%,$19.99,$3.99
Two Point Hospital,Aug 29 - 2018,87%,$34.99,$17.49
Tales of Vesperia: Definitive Edition,Jan 10 - 2019,88%,$49.99,$24.99
Europa Universalis IV,Aug 13 - 2013,83%,$39.99,$9.99
BATTLETECH,Apr 24 - 2018,72%,$39.99,$13.59
Hearts of Iron IV,Jun 6 - 2016,87%,$39.99,$15.99
Kingdom Come: Deliverance,Feb 13 - 2018,75%,$29.99,$17.99
PLAYERUNKNOWN'S BATTLEGROUNDS,Dec 21 - 2017,49%,$29.99,$14.99
Squad,Dec 14 - 2015,84%,$39.99,$19.99
Insurgency: Sandstorm,Dec 12 - 2018,79%,$29.99,$20.99
My Friend Pedro,Jun 20 - 2019,95%,$19.99,$16.99
Tom Clancy's Ghost Recon® Wildlands,Mar 6 - 2017,74%,$49.99,$17.49
RESIDENT EVIL 2 / BIOHAZARD RE:2,Jan 24 - 2019,95%,$59.99,$39.59
PAYDAY 2,Aug 13 - 2013,84%,$9.99,$2.49
Valve Complete Pack,,88%,$145.82,$6.99
Call of Duty®: Black Ops III,Nov 5 - 2015,65%,$59.99,$29.99
Crusader Kings II,Feb 14 - 2012,90%,$39.99,$9.99
The Sims™ 3,Jan 27 - 2011,81%,$19.99,$4.99
A Hat in Time,Oct 5 - 2017,98%,$29.99,$14.99
PAYDAY 2: Ultimate Edition,,83%,$80.33,$4.55
Risk of Rain 2,Mar 28 - 2019,95%,$19.99,$19.99
Total War: WARHAMMER,May 24 - 2016,75%,$59.99,$14.99
Planet Coaster,Nov 17 - 2016,87%,$44.99,$11.24
DOOM,May 12 - 2016,93%,$19.99,$14.99
Dawn of Man,Mar 1 - 2019,79%,$24.99,$18.74
Wolfenstein II: The New Colossus,Oct 26 - 2017,70%,$59.99,$19.79
Deep Rock Galactic,Feb 28 - 2018,94%,$29.99,$19.49
Papers, Please,Aug 8 - 2013,96%,$9.99,$4.99
Borderlands: The Pre-Sequel,Oct 13 - 2014,82%,$39.99,$9.99
Tabletop Simulator,Jun 5 - 2015,93%,$19.99,$9.99
Shadow of the Tomb Raider,Sep 14 - 2018,76%,$59.99,$23.99
Devil May Cry 5,Mar 7 - 2019,92%,$59.99,$39.59
BioShock Infinite,Mar 26 - 2013,95%,$29.99,$7.49
Jurassic World Evolution,Jun 11 - 2018,71%,$44.99,$13.49
Into the Breach,Feb 27 - 2018,92%,$14.99,$7.49
Outward,Mar 26 - 2019,72%,$39.99,$23.99
Cyberpunk 2077,Apr 15 - 2020,NaN,$59.99,$59.99
METAL GEAR SOLID V: The Definitive Experience,,87%,$29.99,$11.99
The Forest,Apr 30 - 2018,92%,$19.99,$11.99
FINAL FANTASY XV WINDOWS EDITION,Mar 6 - 2018,78%,$49.99,$24.99
Tropico 6,Mar 29 - 2019,84%,$49.99,$39.99
ELEX,Oct 17 - 2017,71%,$49.99,$19.99
Kerbal Space Program,Apr 27 - 2015,91%,$39.99,$9.99
Slay the Spire,Jan 23 - 2019,96%,$24.99,$12.49
American Truck Simulator,Feb 2 - 2016,92%,$19.99,$4.99
Surviving Mars,Mar 15 - 2018,75%,$29.99,$10.19
Pummel Party,Sep 20 - 2018,86%,$14.99,$9.89
Hollow Knight,Feb 24 - 2017,95%,$14.99,$8.99
War Thunder,Aug 15 - 2013,79%,$0,$0
Dying Light,Jan 26 - 2015,92%,$39.99,$13.59
Team Fortress 2,Oct 10 - 2007,93%,$0,$0
Middle-earth™: Shadow of War™,Oct 10 - 2017,78%,$59.99,$23.99
